,Year,Value
0,1961,5084
1,1962,4908
2,1963,3851
3,1964,2819
4,1965,6534
5,1966,3934
6,1967,5400
7,1968,4033
8,1969,4992
9,1970,3141
10,1971,6491
11,1972,6602
12,1973,4197
13,1974,7496
14,1975,5739
15,1976,3354
16,1977,5024
17,1978,5805
18,1979,5539
19,1980,4361
20,1981,7763
21,1982,5054
22,1983,7125
23,1984,5669
24,1985,7541
25,1986,4019
26,1987,7660
27,1988,4567
28,1989,5038
29,1990,5036
30,1991,5502
31,1992,5177
32,1993,5660
33,1994,6232
34,1995,4974
35,1996,7130
36,1997,6179
37,1998,8160
38,1999,7341
39,2000,8393
40,2001,7789
41,2002,11011
42,2003,8295
43,2004,10412
44,2005,9201
45,2006,11130
46,2007,9933
47,2008,12586
48,2009,11426
49,2010,13461
50,2011,12568
51,2012,14327
52,2013,14215
53,2014,14036
54,2015,13387
55,2016,15148
56,2017,14894
57,2018,19058
