,Year,Value
0,1961,71778
1,1962,71910
2,1963,75473
3,1964,71356
4,1965,75517
5,1966,75115
6,1967,77636
7,1968,80845
8,1969,83905
9,1970,83151
10,1971,85278
11,1972,92206
12,1973,77355
13,1974,75084
14,1975,73115
15,1976,71466
16,1977,77246
17,1978,75392
18,1979,83859
19,1980,85553
20,1981,86852
21,1982,91800
22,1983,100020
23,1984,100515
24,1985,102603
25,1986,108500
26,1987,110134
27,1988,113091
28,1989,109207
29,1990,77122
30,1991,108737
31,1992,118023
32,1993,114950
33,1994,121064
34,1995,113242
35,1996,113211
36,1997,115846
37,1998,113188
38,1999,118417
39,2000,114775
40,2001,195422
41,2002,196419
42,2003,192608
43,2004,202999
44,2005,205016
45,2006,220225
46,2007,224335
47,2008,219783
48,2009,219313
49,2010,238608
50,2011,238377
51,2012,255185
52,2013,255936
53,2014,253877
54,2015,256128
55,2016,265725
56,2017,268630
57,2018,280638
