Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1961,1961,ha,4383820,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1961,1961,hg/ha,5084,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1961,1961,tonnes,2228704,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1962,1962,ha,4462657,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1962,1962,hg/ha,4908,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1962,1962,tonnes,2190303,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1963,1963,ha,4286129,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1963,1963,hg/ha,3851,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1963,1963,tonnes,1650527,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1964,1964,ha,3696281,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1964,1964,hg/ha,2819,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1964,1964,tonnes,1042013,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1965,1965,ha,3511079,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1965,1965,hg/ha,6534,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1965,1965,tonnes,2294047,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1966,1966,ha,3057470,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1966,1966,hg/ha,3934,Fc,Calculated data,
