Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1961,1961,ha,8112,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1961,1961,hg/ha,71778,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1961,1961,tonnes,58226,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1962,1962,ha,8829,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1962,1962,hg/ha,71910,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1962,1962,tonnes,63489,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1963,1963,ha,9432,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1963,1963,hg/ha,75473,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1963,1963,tonnes,71186,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1964,1964,ha,9793,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1964,1964,hg/ha,71356,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1964,1964,tonnes,69879,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1965,1965,ha,10194,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1965,1965,hg/ha,75517,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1965,1965,tonnes,76982,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1966,1966,ha,10335,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1966,1966,hg/ha,75115,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1966,1966,tonnes,77631,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1967,1967,ha,10706,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1967,1967,hg/ha,77636,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1967,1967,tonnes,83117,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1968,1968,ha,10900,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1968,1968,hg/ha,80845,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1968,1968,tonnes,88121,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1969,1969,ha,11108,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1969,1969,hg/ha,83905,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1969,1969,tonnes,93202,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1970,1970,ha,11414,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1970,1970,hg/ha,83151,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1970,1970,tonnes,94908,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1971,1971,ha,11780,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1971,1971,hg/ha,85278,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1971,1971,tonnes,100458,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1972,1972,ha,12943,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1972,1972,hg/ha,92206,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1972,1972,tonnes,119342,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1973,1973,ha,14610,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1973,1973,hg/ha,77355,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1973,1973,tonnes,113016,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1974,1974,ha,17616,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1974,1974,hg/ha,75084,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1974,1974,tonnes,132268,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1975,1975,ha,19868,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1975,1975,hg/ha,73115,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1975,1975,tonnes,145265,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1976,1976,ha,20742,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1976,1976,hg/ha,71466,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1976,1976,tonnes,148235,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1977,1977,ha,21553,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1977,1977,hg/ha,77246,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1977,1977,tonnes,166489,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1978,1978,ha,22882,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1978,1978,hg/ha,75392,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1978,1978,tonnes,172512,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1979,1979,ha,23231,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1979,1979,hg/ha,83859,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1979,1979,tonnes,194812,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1980,1980,ha,22925,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1980,1980,hg/ha,85553,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1980,1980,tonnes,196130,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1981,1981,ha,22913,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1981,1981,hg/ha,86852,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1981,1981,tonnes,199005,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1982,1982,ha,24670,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1982,1982,hg/ha,91800,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1982,1982,tonnes,226471,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1983,1983,ha,26959,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1983,1983,hg/ha,100020,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1983,1983,tonnes,269644,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1984,1984,ha,28051,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1984,1984,hg/ha,100515,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1984,1984,tonnes,281956,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1985,1985,ha,29161,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1985,1985,hg/ha,102603,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1985,1985,tonnes,299202,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1986,1986,ha,30853,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1986,1986,hg/ha,108500,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1986,1986,tonnes,334756,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1987,1987,ha,35793,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1987,1987,hg/ha,110134,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1987,1987,tonnes,394203,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1988,1988,ha,39107,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1988,1988,hg/ha,113091,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1988,1988,tonnes,442264,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1989,1989,ha,39177,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1989,1989,hg/ha,109207,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1989,1989,tonnes,427839,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1990,1990,ha,40400,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1990,1990,hg/ha,77122,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1990,1990,tonnes,311572,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1991,1991,ha,40102,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1991,1991,hg/ha,108737,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1991,1991,tonnes,436057,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1992,1992,ha,42054,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1992,1992,hg/ha,118023,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1992,1992,tonnes,496336,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1993,1993,ha,43967,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1993,1993,hg/ha,114950,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1993,1993,tonnes,505401,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1994,1994,ha,40590,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1994,1994,hg/ha,121064,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1994,1994,tonnes,491400,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1995,1995,ha,40147,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1995,1995,hg/ha,113242,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1995,1995,tonnes,454632,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1996,1996,ha,41426,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1996,1996,hg/ha,113211,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1996,1996,tonnes,468987,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1997,1997,ha,43898,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1997,1997,hg/ha,115846,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1997,1997,tonnes,508539,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1998,1998,ha,45817,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1998,1998,hg/ha,113188,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1998,1998,tonnes,518592,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,1999,1999,ha,46554,,Official data,
