Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1961","1961","ha","6885740","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1961","1961","hg/ha","13123","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1961","1961","tonnes","9036237","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1962","1962","ha","7347881","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1962","1962","hg/ha","13048","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1962","1962","tonnes","9587285","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1963","1963","ha","7957633","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1963","1963","hg/ha","13092","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1963","1963","tonnes","10418267","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1964","1964","ha","8105894","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1964","1964","hg/ha","11606","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1964","1964","tonnes","9408043","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1965","1965","ha","8771318","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1965","1965","hg/ha","13809","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1965","1965","tonnes","12111921","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1966","1966","ha","8703169","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1966","1966","hg/ha","13066","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1966","1966","tonnes","11371455","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1967","1967","ha","9274321","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1967","1967","hg/ha","13828","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1967","1967","tonnes","12824380","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1968","1968","ha","9584386","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1968","1968","hg/ha","13369","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1968","1968","tonnes","12813638","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1969","1969","ha","9653757","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1969","1969","hg/ha","13149","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1969","1969","tonnes","12693435","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1970","1970","ha","9858108","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1970","1970","hg/ha","14421","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1970","1970","tonnes","14216009","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1971","1971","ha","10550489","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1971","1971","hg/ha","13393","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1971","1971","tonnes","14129749","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1972","1972","ha","10538943","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1972","1972","hg/ha","14130","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1972","1972","tonnes","14891444","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1973","1973","ha","9923570","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1973","1973","hg/ha","14295","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1973","1973","tonnes","14185877","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1974","1974","ha","10672450","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1974","1974","hg/ha","15248","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1974","1974","tonnes","16273227","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1975","1975","ha","10854687","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1975","1975","hg/ha","15048","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1975","1975","tonnes","16334516","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1976","1976","ha","11117570","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1976","1976","hg/ha","15967","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1976","1976","tonnes","17751072","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1977","1977","ha","11797411","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1977","1977","hg/ha","16322","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1977","1977","tonnes","19255936","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1978","1978","ha","11124827","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1978","1978","hg/ha","12197","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1978","1978","tonnes","13569401","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1979","1979","ha","11318885","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1979","1979","hg/ha","14406","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1979","1979","tonnes","16306380","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1980","1980","ha","11451293","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1980","1980","hg/ha","17790","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1980","1980","tonnes","20372080","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1981","1981","ha","11520336","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1981","1981","hg/ha","18330","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1981","1981","tonnes","21116912","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1982","1982","ha","12619531","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1982","1982","hg/ha","17308","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1982","1982","tonnes","21842480","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1983","1983","ha","10705979","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1983","1983","hg/ha","17496","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1983","1983","tonnes","18731216","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1984","1984","ha","12018446","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1984","1984","hg/ha","17610","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1984","1984","tonnes","21164144","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1985","1985","ha","11798349","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1985","1985","hg/ha","18662","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1985","1985","tonnes","22018176","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1986","1986","ha","12460130","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1986","1986","hg/ha","16486","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1986","1986","tonnes","20541230","","Official data",""
